i,j,dist
12,26,0.6036
12,27,0.6152
12,28,0.4806
12,29,0.2464
12,30,0.1882
12,31,0.3612
12,32,0.5748
12,33,0.7021
12,34,0.6003
12,35,0.4425
12,36,0.2202
12,37,0.1206
12,38,0.2873
12,39,0.5064
12,40,0.6763
12,41,0.7240
12,42,0.6421
12,43,0.4802
12,44,0.3295
12,45,0.2156
12,46,0.1677
12,47,0.0850
12,48,0.0335
12,49,0.0444
12,50,0.0490
12,51,0.0490
12,52,0.0454
12,53,0.0455
12,54,0.0513
12,55,0.0552
12,56,0.0552
12,57,0.0552
12,58,0.0552
12,59,0.0552
12,60,0.0552
12,61,0.0552
12,62,0.0552
12,63,0.0552
12,64,0.0552
12,65,0.0552
12,66,0.0552
12,67,0.0552
12,68,0.0552
12,69,0.0552
13,18,0.4527
13,19,0.5652
13,20,0.5804
13,21,0.4708
13,22,0.3000
13,23,0.1446
13,24,0.2319
13,25,0.4344
13,26,0.6052
13,27,0.6170
13,28,0.4825
13,29,0.2484
13,30,0.1894
13,31,0.3624
13,32,0.5764
13,33,0.7038
13,34,0.6022
13,35,0.4444
13,36,0.2222
13,37,0.1219
13,38,0.2882
13,39,0.5079
13,40,0.6780
13,41,0.7259
13,42,0.6440
13,43,0.4822
13,44,0.3315
13,45,0.2177
13,46,0.1697
13,47,0.0871
13,48,0.0349
13,49,0.0441
13,50,0.0487
13,51,0.0487
13,52,0.0442
13,53,0.0448
13,54,0.0508
13,55,0.0546
13,56,0.0546
13,57,0.0546
13,58,0.0546
13,59,0.0546
13,60,0.0546
13,61,0.0546
13,62,0.0546
13,63,0.0546
13,64,0.0546
13,65,0.0546
13,66,0.0546
13,67,0.0546
13,68,0.0546
13,69,0.0546
14,19,0.5652
14,20,0.5804
14,21,0.4708
14,22,0.3000
14,23,0.1446
14,24,0.2319
14,25,0.4344
14,26,0.6052
14,27,0.6170
14,28,0.4825
14,29,0.2484
14,30,0.1894
14,31,0.3624
14,32,0.5764
14,33,0.7038
14,34,0.6022
14,35,0.4444
14,36,0.2222
14,37,0.1219
14,38,0.2882
14,39,0.5079
14,40,0.6780
14,41,0.7259
14,42,0.6440
14,43,0.4822
14,44,0.3315
14,45,0.2177
14,46,0.1697
14,47,0.0871
14,48,0.0349
14,49,0.0441
14,50,0.0487
14,51,0.0487
14,52,0.0442
14,53,0.0448
14,54,0.0508
14,55,0.0546
14,56,0.0546
14,57,0.0546
14,58,0.0546
14,59,0.0546
14,60,0.0546
14,61,0.0546
14,62,0.0546
14,63,0.0546
14,64,0.0546
14,65,0.0546
14,66,0.0546
14,67,0.0546
14,68,0.0546
14,69,0.0546
15,20,0.5733
15,21,0.4644
15,22,0.2944
15,23,0.1360
15,24,0.2210
15,25,0.4252
15,26,0.5970
15,27,0.6103
15,28,0.4774
15,29,0.2450
15,30,0.1792
15,31,0.3525
15,32,0.5679
15,33,0.6966
15,34,0.5959
15,35,0.4394
15,36,0.2189
15,37,0.1123
15,38,0.2771
15,39,0.4989
15,40,0.6704
15,41,0.7198
15,42,0.6392
15,43,0.4782
15,44,0.3282
15,45,0.2157
15,46,0.1674
15,47,0.0879
15,48,0.0442
15,49,0.0564
15,50,0.0610
15,51,0.0610
15,52,0.0549
15,53,0.0567
15,54,0.0629
15,55,0.0667
15,56,0.0667
15,57,0.0667
15,58,0.0667
15,59,0.0667
15,60,0.0667
15,61,0.0667
15,62,0.0667
15,63,0.0667
15,64,0.0667
15,65,0.0667
15,66,0.0667
15,67,0.0667
15,68,0.0667
15,69,0.0667
16,21,0.4168
16,22,0.2549
16,23,0.0865
16,24,0.1491
16,25,0.3612
16,26,0.5378
16,27,0.5596
16,28,0.4375
16,29,0.2222
16,30,0.1127
16,31,0.2852
16,32,0.5073
16,33,0.6426
16,34,0.5477
16,35,0.4006
16,36,0.1981
16,37,0.0587
16,38,0.2038
16,39,0.4354
16,40,0.6143
16,41,0.6722
16,42,0.5998
16,43,0.4446
16,44,0.3022
16,45,0.2036
16,46,0.1574
16,47,0.1128
16,48,0.1116
16,49,0.1329
16,50,0.1375
16,51,0.1375
16,52,0.1306
16,53,0.1334
16,54,0.1396
16,55,0.1435
16,56,0.1435
16,57,0.1435
16,58,0.1435
16,59,0.1435
16,60,0.1435
16,61,0.1435
16,62,0.1435
16,63,0.1435
16,64,0.1435
16,65,0.1435
16,66,0.1435
16,67,0.1435
16,68,0.1435
16,69,0.1435
17,22,0.1478
17,23,0.1251
17,24,0.0395
17,25,0.1786
17,26,0.3584
17,27,0.3919
17,28,0.2967
17,29,0.1772
17,30,0.0739
17,31,0.1009
17,32,0.3266
17,33,0.4686
17,34,0.3846
17,35,0.2656
17,36,0.1724
17,37,0.1422
17,38,0.0421
17,39,0.2527
17,40,0.4380
17,41,0.5076
17,42,0.4516
17,43,0.3177
17,44,0.2179
17,45,0.1951
17,46,0.1849
17,47,0.2285
17,48,0.2718
17,49,0.3034
17,50,0.3079
17,51,0.3079
17,52,0.3075
17,53,0.3068
17,54,0.3113
17,55,0.3155
17,56,0.3155
17,57,0.3155
17,58,0.3155
17,59,0.3155
17,60,0.3155
17,61,0.3155
17,62,0.3155
17,63,0.3155
17,64,0.3155
17,65,0.3155
17,66,0.3155
17,67,0.3155
17,68,0.3155
17,69,0.3155
18,23,0.3082
18,24,0.2450
18,25,0.0401
18,26,0.1538
18,27,0.1923
18,28,0.1592
18,29,0.2575
18,30,0.2715
18,31,0.1135
18,32,0.1238
18,33,0.2635
18,34,0.1911
18,35,0.1534
18,36,0.2744
18,37,0.3327
18,38,0.2084
18,39,0.0619
18,40,0.2324
18,41,0.3084
18,42,0.2744
18,43,0.1995
18,44,0.2214
18,45,0.2960
18,46,0.3193
18,47,0.3947
18,48,0.4521
18,49,0.4873
18,50,0.4914
18,51,0.4914
18,52,0.4959
18,53,0.4924
18,54,0.4955
18,55,0.4996
18,56,0.4996
18,57,0.4996
18,58,0.4996
18,59,0.4996
18,60,0.4996
18,61,0.4996
18,62,0.4996
18,63,0.4996
